category,keyword
Remove,british antarctic survey
EarthScience,geo 
InterdisciplinaryComputing,informat
ComputerScience,comp sci
Math,math 
Education,educ
Engineering,engn 
Humanities,english
EnvironmentalBiology,bio
Chemistry,chem
LifeScience,communicable
Physics,phys 
SocialScience,culture
Architecture,architecture
Remove,usgs
EarthScience,geol
InterdisciplinaryComputing,informa
ComputerScience,informat & enabling technol
Math,mathemat
Engineering,engn[comma]
Humanities,latin
EnvironmentalBiology,bot
Chemistry,atomic
LifeScience,pharm
Physics,langmuir
SocialScience,politi
Remove,geological survey
EarthScience,earth
InterdisciplinaryComputing,bioinform
ComputerScience,enabling tech
Math,stat 
Engineering,control sci
Humanities,liberal arts
EnvironmentalBiology,evol
Chemistry,balcones
LifeScience,infect
Physics,gleb wataghin
SocialScience,psychiat
Remove,kennedy space
EarthScience,meteorol
InterdisciplinaryComputing,data sci
ComputerScience,computat sci
Math,stat[comma]
Engineering,engr
Humanities,bunting inst
EnvironmentalBiology,univ politecn valencia[comma] iam
LifeScience,hlth
Physics,reg bariloche
SocialScience,govt
Remove,fish and wildlife
EarthScience,spatial
InterdisciplinaryComputing,inform tech
ComputerScience,madalgo
Math,statistic
Humanities,literature
EnvironmentalBiology,eco
LifeScience,food
Physics,inst balseiro
SocialScience,anthropol
Remove,fiw
EarthScience,energy
InterdisciplinaryComputing,info tech
ComputerScience,informat 
Math,santa fe inst
Humanities,archeol
EnvironmentalBiology,ent
LifeScience,neurobiol
Physics,ctr atom bariloche
SocialScience,social
Remove,noaa
EarthScience,climate
InterdisciplinaryComputing,ecoinfo
ComputerScience,informat[comma]
Math,nevanlinna inst
Humanities,arqueol
EnvironmentalBiology,ornit
LifeScience,bacteriol
Physics,nucl
SocialScience,law 
Remove,national oceanic and
EarthScience,hydrol
InterdisciplinaryComputing,computat land
ComputerScience,informatics
Math,dept matemat
EnvironmentalBiology,zoo
LifeScience,microbiol
Physics,isotrace
SocialScience,woodrow wilson sch
Remove,consult
EarthScience,minerals
InterdisciplinaryComputing,computat ecol
ComputerScience,computat
EnvironmentalBiology,plant
LifeScience,epidemiol
Physics,inst adv
SocialScience,pondichery
Remove,geol survey
EarthScience,polar
InterdisciplinaryComputing,theory & modeling
ComputerScience,complejidad
EnvironmentalBiology,life
LifeScience,serv alta tecno
SocialScience,saami studies
Remove,capita
EarthScience,space
InterdisciplinaryComputing,bioinf
ComputerScience,eugene lawler
LifeScience,aarhus inst
SocialScience,ctr noumea
Remove,capitol
EarthScience,atmospher
InterdisciplinaryComputing,univ politecn catalunya[comma] complex syst res grp
ComputerScience,dworkin lab
EnvironmentalBiology,limn
LifeScience,aronoff lab
SocialScience,sociol
Remove,save elephants
EarthScience,atmosfera
InterdisciplinaryComputing,modelling sci
ComputerScience,artificial intelligence
EnvironmentalBiology,species
LifeScience,charles perkins
SocialScience,commerce
Remove,usda
EarthScience,clima
